race_id,bet_type,combo,odds,fetched_at
012026062906,3t,2-4-5,89.6,2026-06-29 08:44:09
012026062906,3t,2-4-6,179.2,2026-06-29 08:44:09
012026062906,3t,2-5-1,179.2,2026-06-29 08:44:09
012026062906,3t,2-5-3,358.5,2026-06-29 08:44:09
012026062906,3t,2-5-4,89.6,2026-06-29 08:44:09
012026062906,3t,2-5-6,358.5,2026-06-29 08:44:09
012026062906,3t,2-6-1,71.7,2026-06-29 08:44:09
012026062906,3t,2-6-3,0.0,2026-06-29 08:44:09
012026062906,3t,2-6-4,358.5,2026-06-29 08:44:09
012026062906,3t,2-6-5,179.2,2026-06-29 08:44:09
012026062906,3t,3-1-2,358.5,2026-06-29 08:44:09
012026062906,3t,3-1-4,119.5,2026-06-29 08:44:09
012026062906,3t,3-1-5,51.2,2026-06-29 08:44:09
012026062906,3t,3-1-6,358.5,2026-06-29 08:44:09
012026062906,3t,3-2-1,358.5,2026-06-29 08:44:09
012026062906,3t,3-2-4,358.5,2026-06-29 08:44:09
012026062906,3t,3-2-5,179.2,2026-06-29 08:44:09
012026062906,3t,3-2-6,0.0,2026-06-29 08:44:09
012026062906,3t,3-4-1,179.2,2026-06-29 08:44:09
012026062906,3t,3-4-2,0.0,2026-06-29 08:44:09
012026062906,3t,3-4-5,179.2,2026-06-29 08:44:09
012026062906,3t,3-4-6,0.0,2026-06-29 08:44:09
012026062906,3t,3-5-1,59.7,2026-06-29 08:44:09
012026062906,3t,3-5-2,119.5,2026-06-29 08:44:09
012026062906,3t,3-5-4,32.5,2026-06-29 08:44:09
012026062906,3t,3-5-6,358.5,2026-06-29 08:44:09
012026062906,3t,3-6-1,358.5,2026-06-29 08:44:09
012026062906,3t,3-6-2,0.0,2026-06-29 08:44:09
012026062906,3t,3-6-4,358.5,2026-06-29 08:44:09
012026062906,3t,3-6-5,0.0,2026-06-29 08:44:09
012026062906,3t,4-1-2,51.2,2026-06-29 08:44:09
